Название|Цена|Адрес|Ссылка
2-комн. квартира, 47 м², 9/12 этаж|38 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, Академгородок мкр, бульвар Молодежи, 40|https://novosibirsk.cian.ru/rent/flat/315631874/
1-комн. квартира, 31,5 м², 4/4 этаж|50 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Верхняя зона Академгородка, Академгородок мкр, улица Жемчужная, 28|https://novosibirsk.cian.ru/rent/flat/315283763/
1-комн. квартира, 33 м², 1/4 этаж|50 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Верхняя зона Академгородка, м. Речной вокзал, Академгородок мкр, проезд Цветной, 25|https://novosibirsk.cian.ru/rent/flat/315275076/
1-комн. квартира, 32 м², 6/9 этаж|40 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Верхняя зона Академгородка, м. Речной вокзал, Академгородок мкр, улица Ильича, 9|https://novosibirsk.cian.ru/rent/flat/314891529/
2-комн. квартира, 60 м², 16/17 этаж|39 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, Академгородок мкр, улица Шатурская, 12|https://novosibirsk.cian.ru/rent/flat/315472389/
2-комн. квартира, 44 м², 1/5 этаж|35 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Верхняя зона Академгородка, Академгородок мкр, улица Академическая, 2|https://novosibirsk.cian.ru/rent/flat/315949710/
1-комн. квартира, 36 м², 3/4 этаж|30 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, м. Речной вокзал, Академгородок мкр, проспект Строителей, 13|https://novosibirsk.cian.ru/rent/flat/315127456/
2-комн. квартира, 48 м², 8/9 этаж|25 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, Академгородок мкр, улица Российская, 17|https://novosibirsk.cian.ru/rent/flat/311986850/
1-комн. квартира, 36 м², 2/9 этаж|30 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, Академгородок мкр, улица Иванова, 28|https://novosibirsk.cian.ru/rent/flat/314019578/
2-комн. квартира, 54,9 м², 5/9 этаж|85 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, Академгородок мкр, улица Героев Труда, 35А|https://novosibirsk.cian.ru/rent/flat/315188984/
2-комн. квартира, 46 м², 4/17 этаж|30 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, Академгородок мкр, улица Шатурская, 8|https://novosibirsk.cian.ru/rent/flat/315800631/
1-комн. квартира, 56 м², 14/14 этаж|48 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, м. Речной вокзал, Академгородок мкр, улица Вяземская, 3|https://novosibirsk.cian.ru/rent/flat/314887986/
1-комн. квартира, 46 м², 7/16 этаж|50 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, м. Речной вокзал, Академгородок мкр, улица Российская, 8|https://novosibirsk.cian.ru/rent/flat/315230343/
1-комн. квартира, 31 м², 2/5 этаж|37 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, Академгородок мкр, улица Арбузова, 3|https://novosibirsk.cian.ru/rent/flat/314417449/
1-комн. квартира, 45 м², 17/17 этаж|37 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, м. Речной вокзал, Академгородок мкр, улица Шатурская, 8|https://novosibirsk.cian.ru/rent/flat/311519296/
2-комн. квартира, 55 м², 4/9 этаж|40 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, Академгородок мкр, улица Иванова, 32А|https://novosibirsk.cian.ru/rent/flat/314137421/
1-комн. квартира, 31 м², 2/5 этаж|37 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, м. Речной вокзал, Академгородок мкр, улица Арбузова, 3|https://novosibirsk.cian.ru/rent/flat/314883843/
2-комн. квартира, 55 м², 4/9 этаж|40 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, м. Речной вокзал, Академгородок мкр, улица Иванова, 32А|https://novosibirsk.cian.ru/rent/flat/314887998/
2-комн. квартира, 45 м², 1/5 этаж|25 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Верхняя зона Академгородка, Академгородок мкр, проезд Детский, 5|https://novosibirsk.cian.ru/rent/flat/315529301/
2-комн. квартира, 44 м², 1/3 этаж|32 000 ₽/мес.|Новосибирская область, Новосибирский район, Барышевский сельсовет, пос. Ложок, улица Солнечная, 29|https://novosibirsk.cian.ru/rent/flat/315335186/
1-комн. квартира, 37 м², 1/4 этаж|28 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Верхняя зона Академгородка, Академгородок мкр, проспект Морской, 14|https://novosibirsk.cian.ru/rent/flat/231878203/
1-комн. квартира, 40 м², 4/9 этаж|30 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, Академгородок мкр, улица Демакова, 8|https://novosibirsk.cian.ru/rent/flat/315247713/
1-комн. квартира, 34 м², 6/9 этаж|30 000 ₽/мес.|Новосибирская область, Новосибирск, р-н Советский, мкр. квартал Нижняя зона Академгородка, Академгородок мкр, улица Полевая, 8/2|https://novosibirsk.cian.ru/rent/flat/314915994/
